id,n_layer,n_head,wd,layer,head,ood_acc,ood_acc_single_mean,delta_mean_single,delta_uniform_single,csv_ood_acc,sign_score,viol_score,head_type
zjtpi60l,1,2,0.0,1,1,0.07,0.065,-0.0050000000000000044,-0.007000000000000006,0.07,0.0070000002160668,0.009,neither
zjtpi60l,1,2,0.0,1,2,0.07,0.0,-0.07,-0.07,0.07,0.0,0.037,neither
l3y2ccxm,1,2,0.01,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither
l3y2ccxm,1,2,0.01,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither
4yx9m7wz,1,2,0.001,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither
4yx9m7wz,1,2,0.001,1,2,0.0,0.0,0.0,0.0,0.0,0.0189999993890523,0.0,neither
0u2jxibz,1,2,0.0,1,1,0.342,0.325,-0.017000000000000015,-0.02400000000000002,0.342,0.0410000011324882,0.0,neither
0u2jxibz,1,2,0.0,1,2,0.342,0.041,-0.30100000000000005,-0.29700000000000004,0.342,0.0,0.061,neither
ptbvr5ya,1,2,0.01,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither
ptbvr5ya,1,2,0.01,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither
bz9neuts,1,2,0.001,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.01,neither
bz9neuts,1,2,0.001,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither
0htm45ao,1,2,0.0,1,1,0.556,0.556,0.0,0.0,0.556,0.0179999992251396,0.012,neither
0htm45ao,1,2,0.0,1,2,0.556,0.0,-0.556,-0.556,0.556,0.0,0.032,neither
rfexlvg9,1,2,0.01,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither
rfexlvg9,1,2,0.01,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.008,neither
jl215v93,1,2,0.001,1,1,0.001,0.001,0.0,0.0,0.001,0.0189999993890523,0.0,neither
jl215v93,1,2,0.001,1,2,0.001,0.001,0.0,0.0,0.001,0.0,0.0,neither
cl58du42,1,2,0.0,1,1,0.197,0.213,0.015999999999999986,-0.013000000000000012,0.197,0.0109999999403953,0.008,neither
cl58du42,1,2,0.0,1,2,0.197,0.0,-0.197,-0.197,0.197,0.0,0.029,neither
