cell,n,scorable,rule,generic,hyper
1_wd0.0,30,True,0.46205357142857145,0.6830357142857143,0.43526785714285715
1_wd0.001,30,False,,,
1_wd0.01,30,False,,,
2_wd0.0,30,True,0.896,0.784,0.6800000000000002
2_wd0.001,30,True,1.0,0.9655172413793104,0.2413793103448276
2_wd0.01,30,False,,,
3_wd0.0,30,True,0.5568181818181819,0.6420454545454546,0.41477272727272724
3_wd0.001,30,True,0.9200000000000002,0.9450000000000001,0.5750000000000001
3_wd0.01,30,True,0.585,0.36750000000000005,0.5
